location,country_code,latitude,longitude,confirmed,dead,recovered,updated
Anhanguera,br,-23.5037036,-46.6305454,1,0,None,2020-06-13 00:19:41.967368+00:00
Caiapônia,br,-16.9543034,-51.8094926,2,0,None,2020-06-13 00:19:48.198142+00:00
Amersfoort,nl,52.1561113,5.387826599999999,59,None,None,2020-06-15 13:33:30.081829+00:00
Jardim,br,-21.4832987,-56.1455776,37,0,None,2020-06-13 00:20:06.627989+00:00
Campos Novos Paulista,br,-22.6023519,-49.9992361,0,0,None,2020-06-13 00:19:49.226466+00:00
Umirim,br,-3.6769195,-39.3468642,143,16,None,2020-06-13 00:20:38.343068+00:00
Cacimba de Areia,br,-7.1299323,-37.1570888,5,0,None,2020-06-13 00:19:47.980135+00:00
São João do Paraíso,br,-15.3171879,-42.0217146,2,0,None,2020-06-13 00:20:33.988711+00:00
Canudos,br,-9.8964307,-39.02944189999999,13,0,None,2020-06-13 00:19:49.648591+00:00
Extremoz,br,-5.7059334,-35.3032689,156,4,None,2020-06-13 00:19:57.820287+00:00
Flores de Goiás,br,-14.4573659,-47.0388239,1,0,None,2020-06-13 00:19:58.316707+00:00
Tremedal,br,-14.9760639,-41.4127415,1,0,None,2020-06-13 00:20:37.123908+00:00
Tapes,br,-30.6732959,-51.4052742,0,0,None,2020-06-13 00:20:35.922347+00:00
São Pedro do Piauí,br,-5.9256683,-42.7200597,12,0,None,2020-06-13 00:20:34.866260+00:00
Caculé,br,-14.4974525,-42.22364770000001,0,0,None,2020-06-13 00:19:48.063711+00:00
Barão de Cocais,br,-19.9409449,-43.48131859999999,56,0,None,2020-06-13 00:19:44.737320+00:00
Sabarkantha,in,23.8476704,72.99329689999999,2,3,52,2020-06-24 03:33:17.629270+00:00
"Jefferson County, Illinois",us,38.2267348,-88.86469799999999,104,16,None,2020-06-24 03:30:27.070589+00:00
Lavrinhas,br,-22.5704895,-44.9027146,8,1,None,2020-06-13 00:20:09.592429+00:00
"Pike County, Georgia",us,33.0881873,-84.3962535,83,3,None,2020-06-24 03:30:27.070589+00:00
Cubati,br,-6.865111799999999,-36.3509485,6,0,None,2020-06-13 00:19:54.783096+00:00
"Rowan County, Kentucky",us,38.177068,-83.46435509999999,17,0,None,2020-06-24 03:30:27.070589+00:00
Uibaí,br,-11.3348553,-42.1310211,0,0,None,2020-06-13 00:20:38.196170+00:00
"Muskegon County, Michigan",us,43.2831969,-86.7416374,786,49,None,2020-06-24 03:30:27.070589+00:00
Santa Vitória do Palmar,br,-33.5215632,-53.3664818,8,0,None,2020-06-13 00:20:28.585206+00:00
Yadamah,sa,18.5315621,44.2289441,35,0,12,2020-06-24 03:33:10.542641+00:00
Santana da Ponte Pensa,br,-20.2550798,-50.79731,2,0,None,2020-06-13 00:20:28.618195+00:00
"Greene County, Georgia",us,33.5186591,-83.1649001,90,9,None,2020-06-24 03:30:27.070589+00:00
"Pennington County, Minnesota",us,48.0391802,-96.075015,50,0,None,2020-06-24 03:30:27.070589+00:00
"Todd County, Kentucky",us,36.8338638,-87.14228949999999,23,0,None,2020-06-24 03:30:27.070589+00:00
Casa Nova,br,-9.169476999999999,-40.9733157,35,0,None,2020-06-13 00:19:50.753205+00:00
Conceição dos Ouros,br,-22.4141421,-45.79807210000001,3,0,None,2020-06-13 00:19:52.842473+00:00
"Escambia County, Alabama",us,31.1394734,-87.14228949999999,158,6,None,2020-06-24 03:30:27.070589+00:00
Kaag en Braassem,nl,52.204135,4.6313145,6,None,None,2020-06-15 13:33:32.673992+00:00
Doutor Pedrinho,br,-26.7165525,-49.4855796,0,0,None,2020-06-13 00:19:56.808159+00:00
"Spartanburg County, South Carolina",us,34.860551,-81.9534815,1247,39,None,2020-06-24 03:30:27.070589+00:00
Opmeer,nl,52.7053787,4.9426672,1,None,None,2020-06-15 13:33:33.685696+00:00
Trier-Saarburg,de,49.6186654,6.725129,201,9,None,2020-06-23 00:00:00+00:00
"Deer Lodge County, Montana",us,46.10953139999999,-113.0212247,4,0,None,2020-06-24 03:30:27.070589+00:00
Valle del Cauca,co,3.8008893,-76.64127119999999,5258,242,1891,2020-06-13 00:20:43.704995+00:00
Várzea Alegre,br,-6.7943548,-39.2982103,135,5,None,2020-06-13 00:20:39.910136+00:00
Sonbhadra,in,24.6850005,83.0683519,31,0,11,2020-06-24 03:33:14.702252+00:00
Presidente Venceslau,br,-21.8744122,-51.8443312,44,8,None,2020-06-13 00:20:24.078305+00:00
Tubarão,br,-28.4818875,-49.0058727,242,4,None,2020-06-13 00:20:37.540888+00:00
Descoberto,br,-21.4594569,-42.967572,1,0,None,2020-06-13 00:19:56.140689+00:00
Monte Alegre,br,-2.001415,-54.0740737,41,1,None,2020-06-13 00:20:14.048343+00:00
Martinho Campos,br,-19.3323995,-45.2375851,1,1,None,2020-06-13 00:20:12.266628+00:00
"Greenwood County, South Carolina",us,34.1672949,-82.12783999999999,374,5,None,2020-06-24 03:30:27.070589+00:00
"Island County, Washington",us,48.19765,-122.579457,187,12,None,2020-06-24 03:30:27.070589+00:00
"Unassigned County, New Jersey",us,40.0583238,-74.4056612,53,0,0,2020-06-22 03:31:42.157088+00:00
São Lourenço da Serra,br,-23.8496264,-46.9436103,33,2,None,2020-06-13 00:20:34.208550+00:00
Tijucas,br,-27.240063,-48.63361829999999,54,1,None,2020-06-13 00:20:36.627774+00:00
Neustadt a.d.Weinstraße,de,49.3501864,8.1486886,104,2,None,2020-06-23 00:00:00+00:00
Firminópolis,br,-16.5782293,-50.3044629,2,0,None,2020-06-13 00:19:58.276913+00:00
Pune,in,18.5204303,73.8567437,5996,274,2459,2020-06-24 03:33:16.007007+00:00
"Pueblo County, Colorado",us,38.2528534,-104.4723301,358,24,None,2020-06-24 03:30:27.070589+00:00
"Lincoln County, Wisconsin",us,45.3743102,-89.7725799,8,0,None,2020-06-24 03:30:27.070589+00:00
Natuba,br,-7.641518299999999,-35.5522023,13,0,None,2020-06-13 00:20:15.264935+00:00
Riolândia,br,-20.015942,-49.7319925,0,0,None,2020-06-13 00:20:26.398707+00:00
Santa Terezinha de Goiás,br,-14.4367536,-49.70897369999999,1,0,None,2020-06-13 00:20:28.516478+00:00
Riachinho,br,-16.2207787,-45.9967512,4,0,None,2020-06-13 00:20:25.420652+00:00
Timbaúba,br,-7.5090469,-35.317997,169,24,None,2020-06-13 00:20:36.652213+00:00
Três de Maio,br,-27.7841804,-54.2344541,2,0,None,2020-06-13 00:20:37.514998+00:00
Alfenas,br,-21.4245379,-45.9470255,18,0,None,2020-06-13 00:19:40.748696+00:00
Apucarana,br,-23.5536957,-51.4588028,50,4,None,2020-06-13 00:19:42.344847+00:00
Anamã,br,-3.5155735,-61.7941232,229,0,None,2020-06-13 00:19:41.728998+00:00
Coronel Macedo,br,-23.6266274,-49.3104349,2,1,None,2020-06-13 00:19:53.701071+00:00
"Morgan County, Alabama",us,34.4240875,-86.86218269999999,766,2,None,2020-06-24 03:30:27.070589+00:00
